Title,Published,Views,Likes,Dislikes,Comments
The Hunt,2013,608380,1981,77,449
The Iceman,2013,2489246,3454,259,1135
The Story Of Luke,2013,1300964,3747,243,594
Baggage Claim,2013,472674,3475,191,188
After Earth,2013,4448063,12030,823,3654
Before Midnight,2013,995098,2079,128,302
The Heat,2013,471788,1669,75,114
Monsters University NEW,2013,3380146,8944,697,1293
Gangster Squad,2013,443564,1265,37,92
Tiger Eyes,2013,614244,1560,91,213
The Many Faces of Morgan Freeman,2013,142723,1129,21,129
At Any Price,2013,642768,1776,85,148
Olympus Has Fallen,2013,4100119,8928,686,3340
The Internship,2013,73241,636,20,64
Redemption,2013,11530930,16139,968,1970
A Place at the Table,2013,118735,472,17,65
Redemption,2013,11530930,16139,968,1970
A Place at the Table,2013,118735,472,17,65
Closed Circuit,2013,1735241,1525,108,160
The Brass Teapot,2013,3925205,7607,614,608
Emperor,2013,1489777,2588,182,1186
Imaginaerum,2013,2182552,5455,430,984
Syrup,2013,3276237,8636,671,732
The Lone Ranger,2013,670174,1919,101,311
Les Misérables Ultimate Musical,2012,795478,3106,144,599
We're The Millers,2013,2807980,7084,393,787
Berberian Sound Studio,2013,249472,841,46,87
Writers,2013,1839943,6315,336,597
Mood Indigo,2013,383595,1934,70,182
Riddick,2013,8272305,17508,1223,4222
Broadway Idiot,2013,148258,1674,51,141
Inside Llewyn Davis,2013,169488,609,35,86
Iron Man Ultimate Trilogy,2013,476487,3095,140,434
R.I.P.D.,2013,326521,1416,62,333
Pacific Rim,2013,193850,1058,47,325
Star Trek Into Darkness NEW,2012,743619,1257,62,412
The Lone Ranger,2013,1899947,3668,294,1192
As Cool As I Am,2013,955126,1943,122,106
The End of Love,2013,181585,597,25,70
Frances Ha,2013,342187,723,53,80
Pacific Rim,2013,282419,2190,57,575
Arthur Newman,2013,337649,568,38,112
Admission,2012,554373,650,55,102
R.I.P.D.,2013,267907,1099,42,193
Iron Man 3,2013,1102765,3840,195,358
Les Misérables,2012,591799,1530,88,250
Evil Dead,2013,749842,4987,445,1120
Renoir,2013,194167,528,29,31
Europa Report,2013,994234,1843,164,448
Star Trek Into Darkness,2013,3288926,7257,616,2085
Something Real And Good,2013,684486,1879,111,258
The Fast and Furious Ultimate Franchise,2013,309569,1390,59,227
Fast & Furious 6,2013,1135406,5126,213,1006
Star Trek Into Darkness Complete B-Roll ,2013,523397,3440,67,393
The Impossible ,2013,818776,1851,132,376
V/H/S/2,2013,1168462,2780,235,848
Temptation,2012,17151332,44406,5377,6890
The Colony,2013,9391064,12225,1208,4153
Tattoo Nation,2013,79939,507,23,38
Lore,2013,437977,1142,64,245
Welcome to the Punch US,2013,137435,520,28,102
A Werewolf Boy,2012,1460917,6902,192,962
Turbo,2013,2045548,4333,442,625
Mental,2013,273804,885,60,61
Despicable Me 2,2013,7728166,17766,1733,2148
Upstream Color,2013,296220,638,51,105
Midnight's Children,2013,192289,490,36,57
Broken,2013,137809,882,53,92
Kon-Tiki,2013,144134,442,31,73
Walking With Dinosaurs,2013,7070096,13214,1248,2502
To The Wonder,2013,361086,1115,90,113
The Lone Ranger,2013,154605,748,17,161
No Place On Earth,2013,351643,1558,88,278
The Mortal Instruments: City of Bones,2013,143015,1077,49,237
Maniac,2013,343643,1031,77,203
Oblivion,2013,666582,1972,99,463
Dead Man Down,2013,5239853,5561,463,1853
Crush,2013,479940,1766,102,323
Man of Steel,2013,686054,4618,80,1333
Filly Brown,2013,779132,2441,219,301
Superman: Unbound,2013,937636,2351,158,733
Vehicle 19,2013,1004358,2111,167,493
Love Is All You Need,2013,212871,322,24,41
Vehicle 19,2013,2599062,3268,317,814
Jurassic Park,2013,905373,2128,181,426
Cloudy with a Chance of Meatballs 2,2013,89404,940,24,95
Metallica Through The Never,2013,457498,2230,100,461
The Tower,2013,1277510,3054,196,953
Side Effects,2013,2908932,2533,265,571
Only God Forgives,2013,823356,1891,128,589
The Conjuring,2013,848272,2014,129,417
Milius,2013,27686,177,8,24
Resolution,2012,228496,527,43,83
The Hobbit: An Unexpected Journey MUST SEE Featurette,2012,60995,648,9,69
Evil Dead,2013,222431,637,46,128
The Jeffrey Dahmer Files,2013,217357,800,59,213
Side Effects,2013,167224,439,36,80
Steven Spielberg Ultimate Mashup,2012,69712,391,18,72
The Sweeney,2013,98966,445,27,57
Star Trek Into Darkness Character Profile,2013,33782,248,6,25
Katniss Kills Jacob,2013,684213,6963,524,1972
The Last Gladiators,2013,108612,238,19,43
Free Samples,2013,976987,2565,219,216
Only God Forgives,2013,366721,978,52,267
The English Teacher,2013,27012075,41345,4057,941
Best Man Down,2013,999536,2551,169,445
Sirius,2013,823315,2843,346,823
Top Ten The Hangover Moments ,2013,445206,1729,158,117
Wrong,2013,186624,879,93,168
Lords of Salem,2013,2859894,5496,761,1550
My Amityville Horror,2013,805305,1850,124,459
New World,2013,561881,850,59,265
The Butterfly Room,2012,1376834,2935,355,531
Last Vegas,2013,627546,2395,88,409
World War Z,2013,75833,441,27,123
The Conjuring,2013,161836,724,48,161
Top Ten Fast & Furious 6 Clips ,2013,590882,2996,137,334
Weekend Box Office,2012,13158,48,0,9
Mood Indigo,2013,86083,513,39,70
Walking With Dinosaurs,2013,843292,2423,222,681
Simon Killer,2013,188845,456,50,56
The Last Exorcism Part II,2013,1203948,2120,276,492
Man of Steel Viral,2013,259848,1772,69,648
Monsters University,2013,444716,1747,149,227
The Sorcerer and the White Snake,2012,1218557,2688,255,355
"Bless Me, Ultima",2013,345739,622,69,165
Top Ten Most Anticipated Cannes Films ,2013,136316,912,35,96
Some Girl,2013,2917837,4058,362,262
Dirty Wars,2013,267553,1228,78,291
Hansel And Gretel: Witch Hunters,2013,370685,1076,83,179
Drift,2012,1447481,1347,169,353
The Guillotines,2013,1865261,2385,255,453
Batman Villain Gifs,2013,43852,534,48,168
Day Of The Falcon,2013,367332,809,101,307
The Institute,2013,160610,492,57,83
Crazy Kind Of Love,2013,551073,751,71,43
It's a Disaster,2013,441917,733,113,174
Spring Breakers,2013,740884,2359,372,400
Delivery Man,2013,252400,828,46,163
The Silence Limited Release,2013,170849,399,34,51
The Girl,2012,260839,573,43,92
Jack the Giant Slayer,2013,263511,485,26,133
Somebody Up There Likes Me,2013,165899,309,39,39
The Look Of Love,2013,175723,289,37,49
Reincarnated,2013,281166,1204,126,336
Dark Circles,2013,518310,634,90,172
Byzantium,2013,745800,1295,154,164
Sellebrity,2013,2446032,3808,425,559
Monsters University,2013,288674,838,101,241
Stevie Nicks: In Your Dreams,2013,48511,232,25,47
Phantom,2012,3291547,2397,290,773
Kiss Of The Damned,2013,785132,1538,231,262
Mama,2013,223835,952,44,294
The Lord of the Rings Ultimate Hobbit Adventure,2012,171569,1110,39,198
The Last Stand,2013,61139,421,18,64
Turbo,2013,420348,1521,108,257
Machete Kills,2013,1398147,6064,330,1779
Java Heat,2013,800045,1179,180,322
If I Were You,2013,7753962,11385,1482,341
Hannah Arendt,2013,24951,143,17,24
Assault on Wall Street,2013,3173834,3966,655,1565
Curfew,2013,83696,389,21,54
Pacific Rim,2013,212746,1288,46,304
The East,2013,328660,1427,81,287
Girls Against Boys,2013,2474566,8182,1725,2197
Justin and the Knights of Valour,2013,1414399,2189,338,325
Star Trek Into Darkness,2013,1207779,4427,130,1190
Pain & Gain Ultimate Muscle Mass,2013,312334,1236,88,228
Inescapable,2013,178931,285,36,101
Copperhead,2013,179179,462,73,128
Koch,2012,38035,123,16,14
Stand Off,2013,497357,526,78,145
Monsters University,2013,233663,918,72,136
Gimme The Loot,2013,124247,370,63,110
Planes,2013,140041,702,86,212
The Last Days ,2013,607355,592,71,168
To the Wonder,2012,402756,517,62,137
The Croods,2012,653789,1449,182,165
Somebody Up There Likes Me,2013,17099,115,12,15
Hammer of the Gods,2013,2578730,2580,583,630
Pacific Rim,2013,119877,484,15,173
Errors Of The Human Body,2013,918294,1145,252,375
The Big Wedding,2013,184164,538,54,61
Small Apartments,2013,260210,779,106,93
The History of Future Folk,2013,202304,813,168,93
Single Shot,2013,136439,350,37,93
Scary,2013,1209870,3698,528,1239
Leonie,2013,14091,123,11,11
Hansel & Gretel Get Baked,2013,2157088,4485,1227,793
The Last Exorcism Part II,2013,309621,446,49,147
Storage 24,2012,3770026,4859,1199,1653
Generation Um...,2013,1965802,2146,433,591
Knife Fight,2013,4636452,4454,1160,532
Turbo,2012,542011,1133,118,238
"Ultramarines: A Warhammer 40,000",2013,259942,829,152,262
Aftershock,2012,1144262,1460,392,577
Weekend Box Office,2013,7332,70,6,6
The Package,2012,722593,530,113,121
Monsters University,2013,261242,1132,88,150
Rapturepalooza,2013,760836,2177,713,648
Planes,2013,811728,1620,486,591
Rapture-Palooza,2013,2151395,5264,1968,1796
Smurfs 2,2012,853731,1877,459,392
New Lionsgate Theatrical Logo ,2013,245817,1168,75,321
The Gatekeepers,2012,420087,834,252,288
Elysium German,2013,123455,377,39,136
Penthouse North,2013,490169,450,114,129
Star Trek Into Darkness Super Bowl TV SPOT  J.J. Abrams,2013,285626,1191,34,248
The Call,2013,96351,266,27,61
New Lionsgate Theatrical Logo ,2013,245817,1168,75,321
Elysium German,2013,123455,377,39,136
Penthouse North,2013,490169,450,114,129
Star Trek Into Darkness Super Bowl TV SPOT  J.J. Abrams,2013,285626,1191,34,248
The Call,2013,96351,266,27,61
Monsters University,2013,17506,134,7,11
Rio 2,2013,55914,798,76,147
Upstream Color,2012,140059,237,34,43
Haute Cuisine,2013,58374,359,52,36
Ex-Girlfriends,2012,136699,224,44,50
Wonder Women! The Untold Story of American Superheroines,2013,50615,452,92,94
Witching & Bitching,2013,35970,503,88,156
Tomorrow You're Gone,2013,169625,205,58,34
Hammer of the Gods,2012,6799153,4020,1416,1962
Planes,2013,560802,1134,415,610
Reality,2013,61948,138,38,24
Monsters University,2013,38339,267,10,33
The Last Stand,2012,186138,392,28,60
The Lone Ranger,2013,200514,704,35,116
The Lord of the Rings:The Return of the King,2013,29893,178,8,62
Man of Steel TV Spot #2 ,2013,125600,927,22,237
In Fear,2013,484664,706,234,275
Forrest Gump,2013,18755,143,1,16
Vamp U,2013,530478,564,167,63
Gingerclown,2013,632096,1602,646,820
Weekend Box Office,2013,27851,88,8,20
Planes,2013,235806,660,253,438
InAPPropriate Comedy,2013,1553624,2014,963,389
The Other Fellow,2012,26042,133,31,34
Aroused,2013,999174,881,244,319
Two Mothers,2013,178155,308,78,119
Come Out And Play,2013,85444,133,39,53
Peeples,2013,182676,344,68,121
Star Trek Into Darkness,2013,202295,827,20,241
Magic Valley,2013,55336,270,61,63
Dead Drop,2013,881330,436,145,72
InAPPropriate Comedy,2013,617550,1988,1079,786
The Frankenstein Theory,2013,1004586,953,393,606
Iron Man 3,2013,97485,337,48,88
Jaws,2013,28240,121,15,16
Weekend Box Office,2013,14358,153,14,30
Thor's Hammer for Best Prop  Parody Oscar Nomination,2013,104193,558,77,59
Bears,2013,33088,210,17,42
As Luck Would Have It,2013,42490,109,36,21
Blackfish,2013,118134,268,55,123
Top Ten Reasons to Love Moms,2013,65175,481,67,63
Cybergeddon,2013,179603,341,106,89
Harlem Shake (Midnight Madness Edition at,2013,48281,468,37,50
In The House,2013,5817834,3328,1256,179
Movies With Meg,2012,231385,670,381,437
The Incredible Burt Wonderstone,2013,24579,162,4,15
The Mulbury Project,2012,1929120,3364,1411,1308
Spiders,2013,3402888,3642,3033,2882
Academy Award Winners 2013,2013,30548,176,12,43
Citizen Hearst,2013,23181,109,60,36
The Dark Knight,2013,24954,139,15,96
All Superheroes Must Die,2012,2294945,3143,1579,1118
The Monk,2013,4804776,2918,1741,1180
The Incredible Burt Wonderstone,2013,171144,375,27,48
The Wolverine,2013,89350,948,32,172
The Lord of the Rings Epic Walking,2012,52694,343,61,84
Hatchet III,2013,43566,147,27,49
Alienate,2013,118737,267,169,158
Room 237,2013,154040,429,126,130
Kill Bill Vol. 2,2012,24469,124,20,29
The Heat,2012,72578,704,30,110
Despicable Me 2,2013,92774,700,40,42
Sexy Evil Genius,2013,1069389,483,441,197
"Grow Up, Tony Phillips",2013,77676,220,133,74
Medieval,2013,58733,283,303,45
Officer Down,2012,1218919,519,293,274
One Direction,2013,21807,267,494,115
Monsters University,2013,32512,256,9,35
The Hobbit: An Unexpected Journey,2013,15921,144,8,49
Jack The Giant Slayer,2013,27265,171,27,36
The Weekly Five,2013,39827,296,26,31
The Amazing Spider-Man 2,2013,113228,768,104,424
Weekend Box Office,2013,11241,93,9,16
The Weekly Five,2013,25249,110,13,9
Weekend Box Office,2013,17412,64,12,33
Stranded,2013,450156,242,162,158
Weekend Box Office,2013,46572,270,20,59
The Weekly Five,2013,20228,148,18,20
Sundance Film Festival 2013 MASHUP,2013,12850,62,7,9
Epic,2012,20058,112,79,130
Evil Dead,2013,89277,123,25,34
The Girl with the Dragon Tattoo,2013,25329,50,15,19
Top Gun,2013,75516,137,38,9
Star Trek Into Darkness,2013,18615,134,21,16
Mission Impossible 3,2012,18842,74,23,23
Let Me Explain,2013,19235,118,52,17
Dreamgirls,2013,10284,35,12,2
Monster's Ball,2013,235303,96,56,25
The Spectacular Now,2013,16223256,67655,1047,4385
Belle,2013,3124366,29754,308,1297
The Book Thief,2013,5071373,21488,537,3706
Gimme Shelter,2013,3710533,33176,497,1909
The Lifeguard,2013,10158171,30368,829,1353
The Hunger Games: Catching Fire,2013,12414551,52146,1385,9487
Kill Your Darlings,2013,2340302,13857,272,1149
The Secret Life of Walter Mitty,2013,4672642,19692,573,4248
That Awkward Moment,2013,8682086,23145,884,969
Jackass Presents: Bad Grandpa,2013,7130196,31914,1132,3808
The Wolf of Wall Street,2013,5322781,13781,484,1684
Man of Steel,2013,1181276,5850,167,1673
Stuck In Love,2013,5448332,25038,318,1167
Non-Stop,2013,10182306,25332,922,4176
Paranoia,2013,7850928,36291,835,1076
The Wind Rises,2013,1748599,15781,173,899
Blackfish,2013,2498031,8925,398,2226
Ride Along,2013,10835689,33478,1174,2091
Homefront,2013,8713454,21247,798,2835
Saving Mr. Banks,2013,5457443,15195,679,2870
The Book Thief,2013,876756,6130,119,641
Great Expectations,2013,1953003,8499,244,599
Endless Love,2013,17974932,43505,1943,3130
47 Ronin,2013,16983606,42684,1975,9969
About Last Night,2013,7470471,19638,734,769
Delivery Man,2013,3442267,8092,376,1245
How To Train Your Dragon 2,2013,1984050,14562,249,3743
Mandela: Long Walk To Freedom,2013,691726,3597,91,788
Insidious: Chapter 2,2013,18156728,43028,2616,10243
Her,2013,608775,3552,100,720
The Avengers: Age Of Ultron SDCC Teaser ,2013,8078508,27965,1439,5627
Kick-Ass 2,2013,2884764,9456,458,1183
The Great Gatsby Exclusive,2013,467315,4216,49,390
Out Of The Furnace,2013,4897304,9919,409,2093
James Gandolfini Tribute Video,2013,341928,5597,46,1245
Twice Born,2013,946210,3604,101,212
Inside Llewyn Davis,2013,522934,1597,48,288
Austenland,2013,1143481,2943,158,429
Man Of Tai Chi,2013,3709652,6790,355,1774
The Grand Budapest Hotel,2013,475802,3085,64,322
The Fifth Estate,2013,526035,3481,92,668
Escape Plan,2013,6539149,12306,622,2164
The Grandmaster,2013,1422416,4231,187,1203
Mandela: Long Walk To Freedom,2013,338278,2128,56,307
Mr. Morgan's Last Love,2013,453519,1773,59,293
Parkland,2013,817446,3610,129,687
Labor Day Extended,2013,1191298,2276,114,345
Prisoners,2013,1228450,4069,132,794
Lovelace,2013,3101752,4911,288,614
Grudge Match,2013,1126439,4945,178,904
Out Of The Furnace,2013,242015,1536,37,246
How Much Would It Cost To Be Batman?,2013,1001329,9874,478,1581
Pacific Rim,2013,937131,3497,113,1015
The Wolf of Wall Street,2013,5144467,13447,699,1588
"The Way, Way Back",2013,380437,1533,49,171
12 Years A Slave,2013,367608,2718,82,850
Seventh Son,2013,2801510,8271,364,1445
Terms and Conditions May Apply,2013,356673,2388,72,340
CBGB,2013,183115,1368,45,214
Island of Lemurs: Madagascar,2013,503136,1851,59,214
The Monuments Men,2013,197019,1629,49,225
Philomena,2013,1067336,2690,153,343
A.C.O.D.,2013,1046180,3001,155,205
The Best Man Holiday,2013,2066759,5442,326,779
Winter's Tale,2013,410808,2027,61,202
The Kings of Summer,2013,150353,1661,50,137
The To Do List,2013,4138837,10758,818,845
Lone Survivor,2013,16487667,37227,3115,12529
Thor: The Dark World,2013,2131135,8526,290,1830
Lone Survivor,2013,3486606,7793,432,1179
The Great Beauty,2013,1646109,3598,258,466
RoboCop,2013,455579,2887,119,297
About Time,2013,2449150,5978,372,466
Ride Along,2013,2032678,12164,252,1337
Jobs,2013,715077,3337,175,639
The Counselor,2013,3172867,4573,298,432
47 Ronin,2013,1422665,3662,153,460
Metallica Through The Never,2013,985444,4823,289,762
C.O.G.,2013,2175873,9087,426,619
Mindscape,2013,864608,1358,39,179
Birth to Death as told by Cinema,2013,676332,5130,145,435
Jobs,2013,2239921,13047,912,2466
X-Men: Days of Future Past,2013,4643518,13529,453,2320
Tyler Perry's A Madea Christmas,2013,2683348,11878,862,919
Vampire Academy,2013,11914876,36074,3082,4782
The Butler,2013,819658,3909,188,1076
Man of Steel,2013,1173677,4769,149,3115
Mysteries of the Unseen World,2013,266563,2595,40,105
Afternoon Delight,2013,4663079,6468,507,605
The Immigrant,2013,972459,1724,104,194
Gravity,2013,388404,1908,78,636
Prince Avalanche,2013,711140,1949,124,300
Linsanity,2013,259373,2208,89,277
August Osage County,2013,521732,1404,74,300
Noah,2013,14914134,44392,4264,15553
Neighbors,2013,1011548,6745,199,686
Need For Speed,2013,2207268,10063,641,2259
Cesar Chavez: An American Hero,2013,144882,1147,49,179
The Hobbit: The Desolation of Smaug,2013,830034,4325,73,711
The Wolverine,2013,916627,3077,115,529
Jack Ryan: Shadow Recruit,2013,4149923,5645,414,1014
Elysium,2013,841210,2712,95,480
Ender's Game,2013,7154788,16265,1520,6046
Last Vegas,2013,498567,1272,65,100
We're The Millers,2013,159935,3275,56,201
Best Man Down,2013,3399372,4252,302,188
Captain Phillips,2013,156254,1124,26,232
The Truth About Emanuel,2013,828484,1736,129,246
Sabotage,2013,3939236,6672,489,867
Philomena,2013,313860,861,54,97
Bettie Page Reveals All,2013,366535,1647,75,104
Anchorman 2: The Legend Continues,2013,186583,1723,73,121
Enough Said,2013,332678,1027,54,193
CZ12,2013,770419,3225,110,470
The Hobbit: The Desolation of Smaug U.S.,2013,1266868,10044,202,2500
The Mighty Eighth,2013,6650810,14484,1240,2843
Divergent,2013,789596,5372,86,979
The Hobbit: The Desolation Of Smaug,2013,521764,3082,51,239
Alan Partridge: Alpha Papa,2013,138087,574,23,90
Cornetto Trilogy Ultimate,2013,138844,2223,46,249
"Runner, Runner",2013,1730026,3085,193,482
Rio 2,2013,4731392,11451,931,971
The LEGO,2013,308331,2713,61,416
The Secret Life of Walter Mitty,2013,258396,1519,34,112
Devil's Due,2013,4113962,13893,1261,963
Man Of Tai Chi,2013,192788,1093,57,197
The Young and Prodigious T.S. Spivet,2013,217525,942,42,107
The Lego,2013,514824,4666,167,1106
Touchy Feely,2013,1416079,3140,237,345
The Bling Ring Featurette #1 ,2013,475167,1855,104,388
Free Birds,2013,2198444,5380,435,736
The Wind Rises,2013,434023,2743,53,479
Neighbors,2013,2769696,9117,323,631
The Motivation,2013,197989,1752,63,153
Chucky Invades Behind The Scenes ,2013,1239798,5833,504,478
Only God Forgives,2013,1894094,3384,297,1142
Inside Llewyn Davis,2013,316994,1130,71,150
Dark Touch,2013,1671124,4047,293,415
Grudge Match,2013,228868,916,27,93
Mandela: Long Walk To Freedom,2013,141636,765,23,127
Welcome To The Jungle,2013,2479950,6043,477,558
Romeo And Juliet,2013,1731487,7943,702,1867
Riddick,2013,725416,1895,113,379
Kill Your Darlings,2013,95845,786,25,56
The LEGO,2013,508093,2006,114,240
RoboCop,2013,3594723,16329,1575,4803
Nicolas Cage Gets Around,2013,261880,3333,137,207
Elysium,2013,166912,1493,48,243
The Motel Life,2013,1147155,2167,137,128
Top Ten Brad Pitt,2013,904548,3838,223,900
The Hunger Games: Catching Fire,2013,580147,2287,46,308
Stranger,2013,251228,1387,96,809
Crystal Fairy & The Magical Cactus!,2013,1085426,3486,335,617
Drug War,2013,345106,785,36,140
Captain Phillips Sneak Preview,2013,355610,985,52,230
The Broken Circle Breakdown,2013,902409,1860,154,160
Pacific Rim Ultimate Monster,2013,786397,3861,172,1130
Pacific Rim,2013,130099,1131,27,408
The Boxtrolls,2013,1051807,5240,230,412
Filth,2013,153360,1126,65,180
Casting By,2013,20476,233,3,13
The Mortal Instruments: City of Bones,2013,240560,1524,90,454
That Awkward Moment,2013,904337,5847,333,656
Bad Grandpa,2013,59603,1029,28,62
The Time Being,2013,421470,1517,96,118
The Railway Man,2013,153575,619,26,64
300: Rise of an Empire,2013,620738,2741,181,538
Ender's Game Ultimate,2013,459970,2208,169,383
Mr. Peabody & Sherman,2013,8179974,15456,1476,1989
S.,2013,116594,833,51,237
Top Ten Stoner Films,2013,1407103,7755,619,898
Mr. Peabody & Sherman,2013,1347609,3436,346,533
Frozen,2013,21298150,35792,4599,4095
The Hobbit: The Desolation of Smaug,2013,323174,2804,39,299
Stalingrad,2013,954003,3461,194,754
Machete Kills,2013,1484656,3265,301,394
The Boxtrolls,2013,350674,2703,130,450
"Machete Kills Lady Gaga ""Aura""",2013,308167,2262,127,268
Pacific Rim Featurette,2013,136032,1149,41,225
Cloudy With A Chance Of Meatballs 2,2013,271458,1525,72,185
Pawn Shop Chronicles,2013,1376059,2522,225,483
Single Shot,2013,1247805,1218,98,287
The Hunger Games: Catching Fire,2013,1032365,4329,122,507
Gravity,2013,1576764,3248,351,1148
The Trials of Muhammad Ali,2013,106783,897,42,177
Is The Man Who Is Tall Happy?,2013,78787,726,45,42
Haunter,2013,1940872,4642,404,700
Nebraska,2013,858499,1369,133,207
Frozen,2013,3969911,7850,818,943
All the Boys Love Mandy Lane,2013,2622247,5113,621,632
Riddick,2013,315185,2091,81,213
About Time,2013,238480,1138,44,113
A Haunted House 2,2013,4063180,14609,781,1063
Minecraft: The Story Of Mojang,2013,312132,4277,150,650
Kick Ass 2,2013,305648,3415,78,455
Blue Jasmine,2013,413913,895,107,149
Heaven is for Real,2013,1173315,7369,653,2017
The Conjuring,2013,3650811,7320,775,1821
The Invisible Woman,2013,266270,858,80,95
Percy Jackson: Sea of Monsters,2013,506602,2673,223,798
16-Bit Iron Man 3,2013,1306935,10830,798,1364
Top Ten Defining Vin Diesel Moments in,2013,435837,1885,102,241
American Hustle,2013,277653,1412,76,200
The Invisible Woman,2013,174581,621,46,41
Passion,2013,13143903,18153,2808,1684
Need For Speed,2013,580674,3688,205,569
Police Story,2013,2694305,6137,239,958
Zulu,2013,110008,825,34,161
Coffee Town,2013,2038979,3643,404,394
The Mortal Instruments: City of Bones,2013,249390,1796,89,293
Marvel One-Shot: Agent Carter,2013,397511,1578,70,200
"Runner, Runner",2013,435321,1044,90,240
Insidious: Chapter 2,2013,328595,1414,99,471
Dear Mr. Watterson,2013,134410,1261,41,146
Snowpiercer Final French,2013,135262,693,29,143
Walking With Dinosaurs,2013,316523,1399,116,278
Some Velvet Morning,2013,1887265,2542,338,189
Curse Of Chucky,2013,11299733,29212,3693,13410
Reasons To Be Excited,2013,165344,563,42,165
Pompeii,2013,794147,2692,224,860
One Chance,2013,156249,1078,112,191
White House Down,2013,117241,952,43,185
McCanick,2013,335315,1038,77,262
Diana,2013,549347,1228,164,351
Winnie Mandela,2013,203081,972,114,346
The Art of the Steal,2013,1155297,1191,138,209
What Is Cinema?,2013,44415,556,28,51
Prisoners,2013,72150,537,10,65
Gravity,2013,158506,838,58,264
Gravity,2013,329678,1372,72,498
The Nut Job,2013,735195,2215,264,298
Michael J. Fox Ultimate Mashup,2013,265251,1679,69,132
Maleficent,2013,716231,3772,161,409
Plush,2013,1638576,3313,499,187
Inside Llewyn Davis,2013,51476,435,25,96
Man of Steel Alien Invasion Caught on Tape ! ! !,2013,558078,5668,640,1469
Curse Of Chucky,2013,199993,1648,124,1198
Don Jon,2013,561153,2373,83,342
Grand Piano,2013,141318,404,45,98
Top Ten Reasons Why We Love Dads,2013,52844,803,36,73
"Top Ten ""Fifty Shades of Grey"" Contenders ",2013,180420,1166,146,537
Hell Baby,2013,2307796,4576,743,706
Dom Hemingway UK,2013,256817,1183,91,107
Riddick,2013,131117,861,37,142
Magic Magic,2013,3024257,5072,820,2108
Blue Is The Warmest Color,2013,14682548,18518,3546,2147
I Give It A Year,2013,303081,1104,133,121
The Colony,2013,562618,1069,115,263
X-Men: Days of Future Past,2013,569103,2881,345,904
Frozen,2013,530492,2418,135,935
Top Ten Summer Box Office,2013,255890,1176,84,382
Chucky Invades The Purge,2013,537788,2567,223,323
Cloudy With A Chance Of Meatballs 2,2013,316861,1760,93,293
The Past,2013,248348,483,51,50
47 Ronin,2013,86682,586,22,81
Chucky Invades Psycho,2013,332892,1543,166,225
Oldboy,2013,9983978,12449,2468,1194
Narco Cultura,2013,255202,877,129,175
The Golden Rules of the,2013,102153,1293,98,181
The Nut Job,2013,2934241,4001,763,590
Jack Ryan: Shadow Recruit,2013,110938,521,43,98
Paranormal Activity: The Marked Ones,2013,1671566,5079,961,1283
+1,2013,1737353,2987,536,585
Happy Holidays Mini-Mashup ,2013,117464,374,38,37
Blood,2013,408588,667,72,95
All Cheerleaders Die,2013,1255434,3117,648,458
Top Ten Police Partners,2013,93304,987,64,296
Top Ten Sexually Awkward Moments in,2013,1383001,4115,661,294
Machete Kills,2013,307063,1519,156,283
Weekend Box Office,2013,21643,207,8,42
Machete Kills,2013,126809,1619,169,432
Frankenstein's Army,2013,2121594,4933,1077,1479
The Machine,2013,1415295,3023,359,473
Ender's Game Comic-Con Viral Video,2013,66412,619,16,171
12 Years A Slave,2013,42810,440,17,83
Pacific Rim,2013,72011,525,25,204
Rushlights,2013,263342,427,66,25
Top Ten Geniuses Portrayed In Films,2013,1942989,8431,1455,1002
Captain America: The Winter Soldier,2013,558678,5457,108,1004
The Jungle Book,2013,178697,386,39,54
Chinese Puzzle,2013,153913,421,37,39
Shake The Dust,2013,41824,549,26,27
Last Days On Mars,2013,248226,1118,106,360
Bad Milo,2013,1092655,3342,874,698
"Comic-Con: ""300: Rise of an Empire"" Conversation Highlights",2013,17642,179,14,37
Vampire Academy: Blood Sisters,2013,2712246,10575,1597,5308
X-Men: Days of Future Past Viral Video,2013,223375,1798,149,192
Jayne Mansfield's Car,2013,161395,399,79,58
Solo,2013,290423,1002,174,146
Touchy Feely,2013,337298,754,144,118
Concussion,2013,588938,2165,383,353
The Turning,2013,385595,967,134,214
Dealin' with Idiots,2013,830078,1558,386,163
The Quiet Ones,2013,294790,970,109,113
The Lone Ranger,2013,72070,409,12,73
Blue Jasmine,2013,789601,891,190,160
Frozen,2013,2251987,3648,512,418
Chucky Invades Drag Me To Hell,2013,472371,1643,183,200
Snowpiercer,2013,613616,1329,83,246
Bears,2013,72802,1022,35,158
Chucky Invades Mama,2013,602997,2105,283,216
The Starving Games,2013,709175,4287,1403,807
Riddick,2013,51849,735,21,85
Bounty Killer,2013,396781,1095,223,178
The Shining Review  31 Days Of Halloween Horror,2013,41628,357,37,82
Top Ten Places To Kiss,2013,689870,1359,282,232
Smurfs 2 TRAILER 2 ,2013,184666,680,139,110
Squirrels,2013,652569,2963,841,1721
Justin Bieber's Believe,2013,1190618,11241,4097,1143
The Internship,2013,70284,281,32,23
Weekend Box Office,2013,13835,192,9,19
Tar,2013,3417273,3196,682,485
The Hunger Games vs. Twilight,2013,39147,5584,641,540
The Amazing Spider-Man 2 Comic-Con Teaser ,2013,499234,2345,197,845
I Declare War,2013,134238,1560,298,407
Wrong Cops,2013,718923,1905,739,264
Zulu,2013,40338,282,26,57
